Alaior,"39.9129558233833,4.14708196852"
Alaro,"39.56947,2.650017"
Alcudia,"39.56947,2.650017"
Algaida,"39.5582249049365,2.89395332336"
Andratx,"39.5746670839325,2.41883754730"
Ariany,"39.649781672045,3.109216690063"
Arta,"39.56947,2.650017"
Banyalbufar,"39.6863506630863,2.51389503479"
Binissalem,"39.6871102471629,2.84168243408"
Buger,"39.56947,2.650017"
Bunyola,"39.6953000141987,2.69864559173"
Calvia,"39.56947,2.650017"
Campanet,"39.56947,2.650017"
Campos,"39.4307570213884,3.01780700683"
Capdepera,"39.7017718846457,3.43232631683"
Castell-Es,"39.56947,2.650017"
Ciutadella-de-Menorca,"39.9996762213074,3.83504390716"
Consell,"39.6676556567665,2.81138420104"
Costitx,"39.6556630866841,2.94794082641"
Deya,"39.56947,2.650017"
Eivissa,"39.56947,2.650017"
Escorca,"39.56947,2.650017"
Esporles,"39.669076126375,2.577280998229"
Estellencs,"39.6527224419124,2.48080730438"
Felanitx,"39.4698600917458,3.14655303955"
Ferreries,"39.9946255707378,3.99901579927"
Formentera,"38.719053718917,1.458707817613"
Fornalutx,"39.7817285982504,2.74010181427"
Inca,"39.7186751317772,2.90588378906"
Lloret-de-Vistalegre,"39.6175902402772,2.97248840332"
Lloseta,"39.7178498740907,2.86588668823"
Llubi,"39.56947,2.650017"
Llucmajor,"39.4900326603425,2.88983345031"
Mahon,"39.56947,2.650017"
Manacor,"39.5688118655775,3.20856571197"
Mancor-de-la-Vall,"39.7484438231776,2.87133693695"
Maria-de-la-Salut,"39.6622708207538,3.07102203369"
Marratxi,"39.56947,2.650017"
Mercadal-Es,"39.56947,2.650017"
Migjorn-Gran-Es,"39.56947,2.650017"
Montuiri,"39.56947,2.650017"
Muro,"39.56947,2.650017"
Palma-de-Mallorca,"39.56947,2.650017"
Petra,"39.6130941462537,3.11119079589"
Pobla-Sa,"39.56947,2.650017"
Pollenca,"39.56947,2.650017"
Porreres,"39.5135764827684,3.02021026611"
Puigpunyent,"39.6241355021331,2.52591133117"
Salines-Ses,"39.56947,2.650017"
Sant-Antoni-de-Portmany,"39.56947,2.650017"
Sant-Joan,"39.5953714028637,3.03771972656"
Sant-Joan-de-Labritja,"39.0966222319177,1.50903138855"
Sant-Josep-de-sa-Talaia,"38.9069376040968,1.27244814488"
Sant-Llorenc-des-Cardassar,"39.56947,2.650017"
Sant-Lluis,"39.8297024809617,4.25575496311"
Santa-Eugenia,"39.56947,2.650017"
Santa-Eulalia-del-Rio,"39.56947,2.650017"
Santa-Margalida,"39.56947,2.650017"
Santa-Maria-del-Cami,"39.56947,2.650017"
Santanyi,"39.56947,2.650017"
Selva,"39.7539869041761,2.89961814880"
Sencelles,"39.6452215792735,2.89631366729"
Sineu,"39.6427100954118,3.00819396972"
Soller,"39.56947,2.650017"
Son-Servera,"39.56947,2.650017"
Valldemossa,"39.7100259406974,2.62036800384"
Vilafranca-de-Bonany,"39.56947,2.650017"
