Agua-Nueva,"-34.96667,-69.15"
Aguada-del-Toro,"-36.63333,-68.53333"
Aldea-La-Primavera,"-32.91667,-68.66667"
Alto-del-Salvador,"-33.03333,-68.36667"
Altos-del-Olvido,"-32.65,-68.55"
Anchoris,"-33.33333,-68.91667"
Andrade,"-33.18333,-68.51667"
Bajo-Lunlunta,"-33.05,-68.81667"
Banos-Lunlunta,"-33.06667,-68.83333"
Barcala,"-33.01667,-68.58333"
Bardas-Blancas,"-35.86667,-69.8"
Barraquero,"-32.9,-68.83333"
Bermejo,"-32.88333,-68.8"
Bowen,"-35,-67.51667"
Buena-Nueva,"-32.9,-68.75"
Butaco,"-36.9,-69.8"
Cacheuta,"-33.01667,-69.11667"
Cadetes-de-Chile,"-33.56667,-67.26667"
Calmuco,"-36.78333,-69.88333"
Campo-Los-Andes,"-33.7,-69.15"
Canalejas,"-35.2,-66.51667"
Capacho,"-33.65,-69.05"
Capdeville,"-32.75,-68.8"
Capilla-del-Rosario,"-32.91667,-68.73333"
Carmensa,"-35.13333,-67.63333"
Chacras-de-Coria,"-33,-68.86667"
Chapanay,"-32.98333,-68.43333"
Chilecito,"-33.88333,-69.05"
Colonia-Alvear,"-35,-67.66667"
Colonia-Gobernador-Ayala,"-37.55,-68.08333"
Colonia-Las-Rosas,"-33.6,-69.1"
Colonia-Sur,"-33.33333,-68.03333"
Colonia-Tres-de-Mayo,"-32.66667,-68.61667"
Comandante-Salas,"-33.85,-68"
Coquimbito,"-32.96667,-68.75"
Corral-de-Lorca,"-34.7,-67.06667"
Corralitos,"-32.88333,-68.7"
Costa-de-Araujo,"-32.75,-68.41667"
Cruz-de-Piedra,"-33.03333,-68.8"
Cuadro-Nacional,"-34.61667,-68.28333"
Departamento-de-Godoy-Cruz,"-32.93333,-68.86667"
Departamento-de-Guaymallen,"-32.88333,-68.7"
Departamento-de-Junin,"-33.16667,-68.5"
Departamento-de-Las-Heras,"-32.5,-69.5"
Departamento-de-Lujan,"-33,-69.33333"
Departamento-de-Maipu,"-33,-68.58333"
Departamento-de-Malargue,"-36.25,-69.25"
Departamento-de-Rivadavia,"-33.5,-68.5"
Departamento-de-San-Carlos,"-34,-69"
Departamento-de-San-Rafael,"-35,-68.83333"
Departamento-de-Santa-Rosa,"-33.5,-68"
Departamento-de-Tunuyan,"-33.66667,-69.5"
Departamento-de-Tupungato,"-33.25,-69.25"
Desaguadero,"-33.41667,-67.18333"
El-Algarrobal,"-32.81667,-68.76667"
El-Algarrobo,"-33.46667,-68"
El-Borbollon,"-32.8,-68.75"
El-Borbolloncito,"-32.81667,-68.78333"
El-Carrizal-de-Abajo,"-33.3,-68.75"
El-Carrizal-de-Arriba,"-33.23333,-68.8"
El-Central,"-32.8,-68.36667"
El-Challao,"-32.85,-68.93333"
El-Forzado,"-32.58333,-67.31667"
El-Manzano,"-36.11667,-69.75"
El-Mirador,"-33.33333,-68.33333"
El-Nihuil,"-35.03333,-68.66667"
El-Parral,"-34.01667,-69.13333"
El-Pastal,"-32.76667,-68.71667"
El-Plumerillo,"-32.83333,-68.78333"
El-Retamo,"-32.45,-67.4"
El-Sosneado,"-35.06667,-69.56667"
El-Vergel,"-32.8,-68.63333"
Esquina-Pescadero,"-32.86667,-68.66667"
Estacion-Uspallata,"-32.66667,-69.36667"
Estancia-El-Cercado,"-33.13333,-67.48333"
Estancia-Silva,"-33.4,-69.33333"
Eugenio-Bustos,"-33.76667,-69.06667"
Francisco-Javier-Moyano,"-32.75,-68.71667"
Gaspar-Campos,"-34.65,-67.48333"
General-Gutierrez,"-32.95,-68.8"
General-Ortega,"-33,-68.71667"
Gobernador-Benegas,"-32.95,-68.85"
Gobernador-Civit,"-33.33333,-67.96667"
Gobernador-L-Molina,"-32.7,-68.58333"
Godoy-Cruz,"-32.91667,-68.83333"
Goico,"-34.63333,-67.66667"
Goudge,"-34.66667,-68.13333"
Guido,"-32.85,-69.25"
Haras-General-Las-Heras,"-33.7,-69.26667"
Hornito-del-Gringo,"-32.75,-68.83333"
Ingeniero-Giagnoni,"-33.11667,-68.41667"
Ingeniero-Gustavo-Andre,"-32.7,-68.31667"
Jaguel-Amarillo,"-36.1,-69.35"
Jaguel-de-las-Chilcas,"-36.75,-69"
Jaguel-de-Maya,"-37.1,-68.3"
Jaime-Prats,"-34.9,-67.8"
Jesus-Nazareno,"-32.93333,-68.76667"
Jocoli,"-32.58333,-68.68333"
Jocoli-Viejo,"-32.7,-68.65"
La-Carrodilla,"-32.96667,-68.86667"
